COUNTRY,year,pbipc
Austria,1950,9024.295616
Austria,1951,9641.063583
Austria,1952,9660.185711
Austria,1953,10073.71026
Austria,1954,11090.84938
Austria,1955,12304.8972
Austria,1956,13141.04074
Austria,1957,13918.86499
Austria,1958,14382.7404
Austria,1959,14734.63573
Austria,1960,15872.65062
Austria,1961,16623.69488
Austria,1962,16922.38357
Austria,1963,17498.46675
Austria,1964,18425.48236
Austria,1965,18832.61308
Austria,1966,19753.52545
Austria,1967,20202.55782
Austria,1968,20991.09529
Austria,1969,22234.23084
Austria,1970,23735.03383
Austria,1971,24837.36073
Austria,1972,26226.55881
Austria,1973,27356.27125
Austria,1974,28386.73233
Austria,1975,28359.0148
Austria,1976,29709.45518
Austria,1977,31086.96581
Austria,1978,30999.12518
Austria,1979,32745.99906
Austria,1980,33503.61292
Austria,1981,33403.15512
Austria,1982,33995.31338
Austria,1983,35049.27849
Austria,1984,35159.90859
Austria,1985,35922.15864
Austria,1986,36721.7149
Austria,1987,37286.28757
Austria,1988,38361.9306
Austria,1989,39836.35706
Austria,1990,41138.30219
Austria,1991,42034.50077
Austria,1992,42391.03023
Austria,1993,42221.56799
Austria,1994,43026.0658
Austria,1995,44064.78379
Austria,1996,45039.25325
Austria,1997,45930.14546
Austria,1998,47522.91262
Austria,1999,49117.35985
Austria,2000,50653.4178
Austria,2001,51099.34185
Austria,2002,51687.28653
Austria,2003,51941.70374
Austria,2004,53028.01387
Austria,2005,53849.92395
Austria,2006,55422.39914
Austria,2007,57299.44583
Austria,2008,57952.1696
Austria,2009,55637.19404
Austria,2010,56526.55903
Austria,2011,57988.25617
Austria,2012,58121.07943
Austria,2013,57786.69421
Austria,2014,57714.71639
Austria,2015,57721.98831
Austria,2016,58127.44389
Austria,2017,59066.817
Austria,2018,60252.32597
Austria,2019,60875.76826
Austria,2020,56526.41398
Austria,2021,58807.91446
Austria,2022,60365.6723
Belgium,1950,12431.26654
Belgium,1951,13079.24463
Belgium,1952,12900.16855
Belgium,1953,13241.35696
Belgium,1954,13721.46661
Belgium,1955,14292.97008
Belgium,1956,14616.67357
Belgium,1957,14780.94535
Belgium,1958,14660.76687
Belgium,1959,15039.58772
Belgium,1960,15822.04635
Belgium,1961,16506.49989
Belgium,1962,17258.13664
Belgium,1963,17893.93516
Belgium,1964,18982.50887
Belgium,1965,19480.06432
Belgium,1966,19972.92552
Belgium,1967,20646.31797
Belgium,1968,21428.50919
Belgium,1969,22800.13102
Belgium,1970,24148.85466
Belgium,1971,24965.27474
Belgium,1972,26178.21119
Belgium,1973,27697.25956
Belgium,1974,28773.75384
Belgium,1975,28313.60743
Belgium,1976,29864.67369
Belgium,1977,30018.59789
Belgium,1978,30846.96558
Belgium,1979,31545.0388
Belgium,1980,32926.0134
Belgium,1981,32496.58684
Belgium,1982,32942.06497
Belgium,1983,32940.75645
Belgium,1984,33757.13133
Belgium,1985,34086.56602
Belgium,1986,34582.75389
Belgium,1987,35369.11409
Belgium,1988,36986.79964
Belgium,1989,38106.98208
Belgium,1990,39138.08286
Belgium,1991,39715.34716
Belgium,1992,40158.27216
Belgium,1993,39614.98223
Belgium,1994,40741.91809
Belgium,1995,41579.93404
Belgium,1996,42046.4361
Belgium,1997,43538.65633
Belgium,1998,44297.08026
Belgium,1999,45763.25088
Belgium,2000,47348.36933
Belgium,2001,47701.5003
Belgium,2002,48299.72973
Belgium,2003,48598.83212
Belgium,2004,50117.04156
Belgium,2005,50996.7954
Belgium,2006,51956.30074
Belgium,2007,53471.26463
Belgium,2008,53288.98626
Belgium,2009,51796.23529
Belgium,2010,52790.84585
Belgium,2011,52994.75029
Belgium,2012,53054.84379
Belgium,2013,53050.12753
Belgium,2014,53647.16515
Belgium,2015,54426.73422
Belgium,2016,54838.89136
Belgium,2017,55511.49165
Belgium,2018,56264.15119
Belgium,2019,57163.42846
Belgium,2020,53671.23854
Belgium,2021,56817.5403
Belgium,2022,57949.40553
Cyprus,1950,4311.777114
Cyprus,1951,4155.80196
Cyprus,1952,4508.909091
Cyprus,1953,4892.866095
Cyprus,1954,4911.357364
Cyprus,1955,5021.222491
Cyprus,1956,5510.564537
Cyprus,1957,5748.821097
Cyprus,1958,5468.242227
Cyprus,1959,5700.687479
Cyprus,1960,5223.142979
Cyprus,1961,5746.11558
Cyprus,1962,6292.063423
Cyprus,1963,6609.036778
Cyprus,1964,5934.066942
Cyprus,1965,7208.772187
Cyprus,1966,7594.709055
Cyprus,1967,8564.376269
Cyprus,1968,8886.266945
Cyprus,1969,9631.950845
Cyprus,1970,9846.299693
Cyprus,1971,11029.62431
Cyprus,1972,11668.75116
Cyprus,1973,11822.88208
Cyprus,1974,9718.877447
Cyprus,1975,8260.93301
Cyprus,1976,9939.409419
Cyprus,1977,11511.03942
Cyprus,1978,12337.3559
Cyprus,1979,13463.38408
Cyprus,1980,14122.71948
Cyprus,1981,14391.08927
Cyprus,1982,15139.68928
Cyprus,1983,15755.65405
Cyprus,1984,16928.82263
Cyprus,1985,17520.68869
